partner_id,neuron_label,n_synapses,n_valid_regime,dominant_regime,regime_0_frac,regime_1_frac,regime_2_frac,spans_regimes,effect_ratio,mean_pairwise_distance,max_branch_fraction,p_distance,z_distance
864691135373930184,inh_MC,3,3,1,0.0,1.0,0.0,False,0.6499009920633068,43941.72678789058,0.6666666666666666,0.041,-1.5804561929974934
864691135386650965,inh_MC,4,4,2,0.25,0.25,0.5,True,1.0830148189721267,38667.829476211315,0.25,0.661,0.39554102060511215
864691135387988609,inh_MC,4,4,2,0.0,0.25,0.75,True,0.8040222823843042,83058.06119492045,0.5,0.041,-1.957783122465692
864691135395617525,inh_MC,3,3,0,0.6666666666666666,0.0,0.3333333333333333,True,0.9645427342186839,63593.18188235482,0.6666666666666666,0.403,-0.3029159644809504
864691135396580129,inh_MC,4,4,1,0.0,0.5,0.5,True,0.7312744668502212,33458.36419020217,0.5,0.043,-1.7099369596807288
864691135397928737,inh_MC,4,4,2,0.0,0.25,0.75,True,0.5865614348870524,106266.40698330414,0.75,0.0,-5.188148526178502
864691135408388297,inh_MC,4,4,2,0.0,0.0,1.0,False,0.8205989825168785,124064.72979942562,0.25,0.045,-1.9789966370403198
864691135417313722,inh_MC,7,7,2,0.2857142857142857,0.2857142857142857,0.42857142857142855,True,0.9605445545042235,91551.46446442493,0.2857142857142857,0.273,-0.5689760042766392
864691135430148912,inh_MC,4,4,2,0.0,0.0,1.0,False,0.8355352393453224,124996.2112764403,0.25,0.094,-1.3688351293040937
864691135442029384,inh_MC,8,8,1,0.0,0.75,0.25,True,0.7119204461846507,42440.51060532998,0.5,0.0,-3.749567781739829
864691135442076744,inh_MC,3,3,2,0.0,0.0,1.0,False,0.742250894402392,117419.09620594466,0.6666666666666666,0.052,-1.7175724959427032
864691135446792082,inh_MC,4,4,2,0.0,0.0,1.0,False,0.7003925357039318,155184.1885859053,0.5,0.021,-2.819530261903488
864691135446894482,inh_MC,4,4,2,0.0,0.0,1.0,False,0.060188469341978225,10834.086441926907,1.0,0.0,-10.035898499279325
864691135455400554,inh_MC,3,3,2,0.0,0.3333333333333333,0.6666666666666666,True,1.1988638059398582,75380.7514296538,0.3333333333333333,0.938,1.4154925943985124
864691135463557277,inh_MC,6,6,2,0.0,0.16666666666666666,0.8333333333333334,True,0.9086207405329502,141432.86775786532,0.3333333333333333,0.09,-1.3442077712851523
864691135463850397,inh_MC,4,4,1,0.25,0.5,0.25,True,1.0410704699376374,37219.92516119465,0.25,0.574,0.20159326617543008
864691135464054941,inh_MC,3,3,2,0.0,0.0,1.0,False,0.7456379942752265,191550.45398864182,0.6666666666666666,0.06,-2.1699554342780933
864691135464162366,inh_MC,3,3,1,0.0,0.6666666666666666,0.3333333333333333,True,1.0060004285181183,63244.24336492162,0.3333333333333333,0.521,0.11750121112246581
864691135473217330,inh_MC,3,3,0,1.0,0.0,0.0,False,0.40143824685957186,21451.45141179463,0.6666666666666666,0.003,-3.4398809673043496
864691135473477426,inh_MC,3,3,2,0.0,0.0,1.0,False,1.066522223570923,148659.3961128247,0.3333333333333333,0.854,0.8784120646662885
864691135479574982,inh_MC,6,6,2,0.0,0.0,1.0,False,0.968866035826786,172571.1723003123,0.3333333333333333,0.31,-0.317619820914772
864691135479713734,inh_MC,4,4,1,0.0,0.5,0.5,True,0.9941556821189201,81196.41439969049,0.5,0.473,0.06468635976846221
864691135492080871,inh_MC,5,5,2,0.0,0.0,1.0,False,0.8823358106048013,111309.27830321703,0.4,0.108,-1.218020056169563
864691135495477648,inh_MC,3,3,2,0.0,0.0,1.0,False,0.8601030230244276,127365.58366947983,0.3333333333333333,0.195,-0.6534864048766551
864691135503188917,inh_MC,3,3,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,1.0918555860607728,42427.42338054536,0.3333333333333333,0.653,0.3633931178460784
864691135511496656,inh_MC,3,3,2,0.0,0.0,1.0,False,0.24465300389763775,21172.75153689773,0.6666666666666666,0.006,-4.209524350060915
864691135511863760,inh_MC,3,3,2,0.0,0.0,1.0,False,0.8671459751484974,110931.22830813634,0.3333333333333333,0.223,-0.5872334159873416
864691135527472987,inh_MC,4,4,2,0.0,0.25,0.75,True,0.16958437759531111,36636.155956607305,0.75,0.0,-8.099641981466364
864691135539125362,inh_MC,23,23,2,0.0,0.043478260869565216,0.9565217391304348,True,0.7747020156074328,186932.31761752587,0.391304347826087,0.0,-10.563802116453717
864691135566089495,inh_MC,4,4,0,0.5,0.0,0.5,True,0.5979877521413729,58711.28311119039,0.5,0.0,-4.351429337070804
864691135569147116,inh_MC,3,3,2,0.0,0.0,1.0,False,0.7649737850317253,134667.8244489466,0.6666666666666666,0.082,-1.4624476194228577
864691135569194220,inh_MC,3,3,2,0.0,0.3333333333333333,0.6666666666666666,True,0.6175391837348405,111592.66857021174,0.6666666666666666,0.023,-2.5242686214065486
864691135577956101,inh_MC,33,33,1,0.09090909090909091,0.45454545454545453,0.45454545454545453,True,0.8902914518287698,112646.87669548276,0.21212121212121213,0.0,-5.294073013494364
864691135578121989,inh_MC,5,5,2,0.0,0.2,0.8,True,0.8812973581093897,120903.40071392753,0.2,0.068,-1.4665134759079097
864691135585564280,inh_MC,3,3,1,0.0,0.6666666666666666,0.3333333333333333,True,1.0209311321184533,144616.8626331931,0.3333333333333333,0.617,0.37254800563685087
864691135586548092,inh_MC,5,5,2,0.0,0.4,0.6,True,0.8176886579241377,130410.28423769955,0.4,0.025,-2.485168929780255
864691135586570108,inh_MC,3,3,2,0.0,0.0,1.0,False,1.0364248361023891,180988.55410598396,0.3333333333333333,0.774,0.697766929235683
864691135591687691,inh_MC,4,4,2,0.0,0.0,1.0,False,0.9310905647762524,127310.60170769373,0.5,0.204,-0.6189412607403758
864691135615208139,inh_MC,11,11,2,0.0,0.0,1.0,False,0.9119646735027218,171094.3853824257,0.18181818181818182,0.03,-2.1506089427732897
864691135659081602,inh_MC,5,5,2,0.0,0.0,1.0,False,0.7413935258972303,184096.9531233407,0.6,0.012,-3.014619042747613
864691135661637872,inh_MC,4,4,0,0.75,0.25,0.0,True,0.9433261516271282,33450.05109776309,0.5,0.391,-0.29761777913123205
864691135688058592,inh_MC,3,3,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0.8064454183451065,135901.89031737638,0.3333333333333333,0.048,-1.7357567112968526
864691135688446944,inh_MC,10,10,2,0.2,0.1,0.7,True,0.935775811367559,128713.84744163814,0.2,0.091,-1.2811237311194767
864691135693839039,inh_MC,4,4,2,0.0,0.0,1.0,False,0.8993267409558016,129030.98132175802,0.5,0.169,-0.9519322012715296
864691135694246079,inh_MC,3,3,2,0.0,0.0,1.0,False,0.7665496678245389,93634.23859296968,0.6666666666666666,0.093,-1.3136543593758596
864691135694281919,inh_MC,3,3,1,0.0,0.6666666666666666,0.3333333333333333,True,0.5291139127956118,116928.33458003354,0.3333333333333333,0.008,-3.549345737636638
864691135700724514,inh_MC,3,3,2,0.0,0.0,1.0,False,1.0164438706712335,231111.26300334907,0.3333333333333333,0.605,0.5112528980075912
864691135726971967,inh_MC,8,8,2,0.25,0.25,0.5,True,0.931047861452206,149715.17467691246,0.25,0.094,-1.2620769365852087
