neuron_label,branch_idx,regime,cell_type,subtype,n_synapses,n_unique_partners,mean_syns_per_partner,frac_syn_from_multi,pairwise_compactness_z,clark_evans_z,syn_density,total_length_nm,electrotonic_length
exc_23P_2,12,2,excitatory,23P,20,18,1.1111111111111112,0.2,0.1340157918336023,-2.945317816762101,0.00022787632318583287,87766.90671671942,0.1823121930975373
exc_23P_2,14,0,excitatory,23P,5,4,1.25,0.4,1.079279176925641,-0.7129285579956001,0.0008297940851910244,6025.591275272786,0.0084629981304082
exc_23P_2,16,0,excitatory,23P,8,3,2.6666666666666665,0.875,-3.1614483293949167,-2.2602200272971733,0.0004821088694531673,16593.76233644905,0.024117697049077
exc_23P_2,17,2,excitatory,23P,16,12,1.3333333333333333,0.4375,-0.1603318143302445,-0.5197698178975333,0.00015727771637669962,101730.8768756409,0.1939360895328068
exc_23P_2,22,1,excitatory,23P,7,6,1.1666666666666667,0.2857142857142857,0.7180035140830787,0.2967072246076643,0.00033420018054927756,20945.530276180853,0.0420032188804062
exc_23P_2,26,1,excitatory,23P,3,3,1.0,0.0,0.1371590958596348,,0.00013463263183192078,22282.85935719719,0.0409336683021757
exc_23P_2,28,0,excitatory,23P,4,4,1.0,0.0,0.7989482894139049,,0.0002968932139048353,13472.857622411471,0.0204510144483645
exc_23P_2,29,0,excitatory,23P,5,3,1.6666666666666667,0.6,-1.039199049129047,-0.6723966804698737,0.0006388668636502543,7826.356764587551,0.011154523551481
exc_23P_2,30,1,excitatory,23P,4,2,2.0,0.75,-0.7996385426340239,,0.00027034477923385723,14795.921013661842,0.0328564779963471
exc_23P_2,32,1,excitatory,23P,4,4,1.0,0.0,-1.538649121047408,,0.00022299997811282244,17937.22149145808,0.0314652091619528
exc_23P_2,33,2,excitatory,23P,10,10,1.0,0.0,-0.0921467833853772,1.864423170335896,0.00013670403250791357,73150.73166858568,0.1399142635758987
