neuron_label,root_id,cell_type,subtype,branch_idx,branch_order,mean_diameter_nm,total_length_nm,electrotonic_length,soma_distance_nm,synapse_count,exc_count,inh_count,exc_fraction,regime,regime_name,order_regime,kmeans_regime,is_bpc
exc_23P,864691135848859998,excitatory,23P,43,5,581.1428571428571,7674.513275057443,0.0174369297109825,79715.24406744831,0,0,0,,0,summation-like,1,0,False
exc_23P,864691135848859998,excitatory,23P,44,5,666.0,7669.716169950133,0.0162780660094245,79712.84551489465,0,0,0,,0,summation-like,1,0,False
exc_23P,864691135848859998,excitatory,23P,45,5,565.7142857142857,7370.064682102336,0.0169720129234332,79563.01977097074,1,0,1,0.0,0,summation-like,1,0,False
exc_23P,864691135848859998,excitatory,23P,46,9,977.6,5978.660869591797,0.0104733098049285,173940.3749325152,0,0,0,,0,summation-like,2,0,False
exc_23P,864691135848859998,excitatory,23P,47,9,731.5151515151515,46100.29988893955,0.0933582527296913,194001.19444218907,0,0,0,,1,nonlinear-prone,2,2,False
exc_23P,864691135848859998,excitatory,23P,48,10,744.6315789473684,140760.0194392451,0.2825330256759056,247309.71508693363,3,0,3,0.0,2,compartmentalized,2,2,False
exc_23P,864691135848859998,excitatory,23P,49,10,745.8709677419355,42928.97972486033,0.0860952799941607,198394.19522974125,2,0,2,0.0,1,nonlinear-prone,2,2,False
exc_23P,864691135848859998,excitatory,23P,50,2,1053.6,6013.01100562053,0.010146464614507,20377.007523919816,0,0,0,,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,51,2,987.2727272727273,14020.51793842226,0.0244402764895034,24380.760990320683,8,0,8,0.0,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,52,2,1464.857142857143,8993.277525764612,0.0128700722939219,24744.874802667546,2,1,1,0.5,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,53,2,1058.8,4299.414451497862,0.0072370733265339,22397.94326553417,4,0,4,0.0,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,54,3,909.9545454545456,129748.317791035,0.2355876466146213,88257.67192224758,32,9,23,0.28125,2,compartmentalized,0,2,False
exc_23P,864691135848859998,excitatory,23P,55,3,1078.1142857142856,49525.04680116231,0.0826138994240164,48146.036427311235,14,1,13,0.0714285714285714,1,nonlinear-prone,0,0,False
exc_23P,864691135848859998,excitatory,23P,56,3,884.875,117566.30301576936,0.2164723970914399,88024.66507343453,24,9,15,0.375,2,compartmentalized,0,2,False
exc_23P,864691135848859998,excitatory,23P,57,3,1420.6666666666667,1561.4254892252825,0.0022690067961182,30022.226310162485,0,0,0,,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,58,3,1152.5,27011.85724954921,0.0435807405990124,42747.44219032445,5,0,5,0.0,1,nonlinear-prone,0,0,False
exc_23P,864691135848859998,excitatory,23P,59,9,678.0,13548.784281349812,0.028500081936115,202026.86243857883,0,0,0,,1,nonlinear-prone,2,0,False
exc_23P,864691135848859998,excitatory,23P,60,9,704.1818181818181,12502.82047856719,0.0258063283653348,201503.8805371875,0,0,0,,0,summation-like,2,0,False
exc_23P,864691135848859998,excitatory,23P,61,4,1066.0,31582.04401998225,0.0529812572034635,41054.5708300903,14,1,13,0.0714285714285714,1,nonlinear-prone,1,0,False
exc_23P,864691135848859998,excitatory,23P,62,4,843.830985915493,102964.61620136996,0.1941426252332968,76745.85692078415,20,2,18,0.1,2,compartmentalized,1,2,False
exc_23P,864691135848859998,excitatory,23P,63,5,850.4,72359.35948534982,0.1359075912957534,93025.27258275633,12,3,9,0.25,2,compartmentalized,1,2,False
exc_23P,864691135848859998,excitatory,23P,64,5,827.1111111111111,64046.26624443063,0.1219754745038647,88868.72596229674,7,4,3,0.5714285714285714,2,compartmentalized,1,2,False
exc_23P,864691135848859998,excitatory,23P,65,5,770.4878048780488,59814.252229882986,0.1180272859315616,105820.89140399656,9,4,5,0.4444444444444444,2,compartmentalized,1,2,False
exc_23P,864691135848859998,excitatory,23P,66,5,830.9230769230769,53618.9175179654,0.1018821870248647,102723.22404803777,4,0,4,0.0,1,nonlinear-prone,1,0,False
exc_23P,864691135848859998,excitatory,23P,67,5,656.0,7866.384892810725,0.0168222429084778,79846.95773546041,1,1,0,1.0,0,summation-like,1,0,False
exc_23P,864691135848859998,excitatory,23P,68,4,1026.8,5914.069228445391,0.010108904676367,57288.71557891459,3,0,3,0.0,0,summation-like,1,0,False
exc_23P,864691135848859998,excitatory,23P,69,4,820.4705882352941,73506.43889292986,0.1405576546977932,91084.90041115682,22,8,14,0.3636363636363636,2,compartmentalized,1,2,False
exc_23P,864691135848859998,excitatory,23P,70,3,1174.3333333333333,7510.857987821855,0.0120047876888183,35146.44895344274,5,1,4,0.2,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,71,3,886.56,70777.32878237955,0.1301969254899746,66779.6843507216,14,3,11,0.2142857142857142,2,compartmentalized,0,2,False
exc_23P,864691135848859998,excitatory,23P,72,5,850.4444444444445,92684.8411075522,0.1740789918507826,106588.17074691338,18,3,15,0.1666666666666666,2,compartmentalized,1,2,False
exc_23P,864691135848859998,excitatory,23P,73,5,827.1481481481482,78162.00554815536,0.1488554263038237,99326.75296721495,13,3,10,0.2307692307692307,2,compartmentalized,1,2,False
exc_23P,864691135848859998,excitatory,23P,74,4,887.0958904109589,107371.98252694272,0.1974541726277262,92587.86921082504,14,2,12,0.1428571428571428,2,compartmentalized,1,2,False
